search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
chief executive officer,1513000,414562,98,11,0.274,0.112244898,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=HrQMpSpZ37_m9M:&imgrefurl=http://sexyexecs.blogspot.com/2011/03/pieter-nota-chief-executive-officer.html&docid=yZ4pZmoW2f1SEM&imgurl=http://2.bp.blogspot.com/-LWi9zjkH8Mc/TZTZrq3ZiGI/AAAAAAAAA7E/aJWs61mH73g/s1600/pieter_nota.jpg&w=1600&h=1151&ei=knnzUazNDoe9igK784C4Aw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
computer programmer,480000,108000,54,9,0.225,0.166666667,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=QbtmSkn1kxH8FM:&imgrefurl=http://www.my-programming.com/2011/10/how-to-become-a-programmer/&docid=Wb-FOz--MSLTGM&imgurl=http://www.my-programming.com/wp-content/uploads/2011/10/computer-programmer.jpg&w=400&h=300&ei=PdD2UZngK8vnigL_9IDwCA&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
construction worker,1387000,40223,88,11,0.029,0.125,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Ot3tLnasoCIAfM:&imgrefurl=http://en.wikipedia.org/wiki/Construction_worker&docid=jm4zFmTbQueaRM&imgurl=http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/PalmercarpenterA.jpg/230px-PalmercarpenterA.jpg&w=230&h=300&ei=riD3Ud-oGM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
custodian,2205000,654885,64,10,0.297,0.15625,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=_OnAsMldFv7i-M:&imgrefurl=http://www.picturesof.net/pages/081206-191059-696018.html&docid=GVj9wulTAmsOoM&imgurl=http://www.picturesof.net/_images_300/A_Janitor_Or_Custodian_Mopping_Royalty_Free_Clipart_Picture_081206-191059-696018.jpg&w=300&h=285&ei=fBX3Ub2jJ-WriAKmuIGwAw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=6fh1zVmE9YYxNM:&imgrefurl=http://depositphotos.com/13142823/stock-photo-Customer-service-representative-.html&docid=PfTF1bU9pzDrLM&imgurl=http://st.depositphotos.com/1278120/1314/i/950/depositphotos_13142823-Customer-service-representative-.jpg&w=1024&h=778&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
doctor,911000,312473,83,25,0.343,0.301204819,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=K8deTxy9gsjq_M:&imgrefurl=http://depositphotos.com/3116729/stock-illustration-Doctor-2.html&docid=m-tgzSWFaey2TM&imgurl=http://static4.depositphotos.com/1008611/311/v/950/depositphotos_3116729-Doctor-2.jpg&w=627&h=1024&ei=rvX2UcPGCejUiwLtvICACA&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
electrician,692000,12456,75,3,0.018,0.04,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=p7lOflg8Gyar3M:&imgrefurl=http://www.electricianmentor.com/electrician-job-description/&docid=-KbXvSWNlrydKM&imgurl=http://www.electricianmentor.com/wp-content/uploads/2013/05/Electrician-Technichian.jpg&w=240&h=240&ei=OSH3Uf2TN4iTiQLOu4DoAQ&zoom=1&ved=1t:3588,r:12,s:0,i:117",12,google
engineer,359000,47388,71,11,0.132,0.154929577,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=i5LeTvFb-zVesM:&imgrefurl=http://eofdreams.com/photo/engineer/06/&docid=bIsFZXoIBUoXrM&imgurl=http://eofdreams.com/data_images/dreams/engineer/engineer-06.jpg&w=507&h=510&ei=ANL2UefUGOKaiQKBvIGYAg&zoom=1&ved=1t:3588,r:12,s:0,i:125",12,google
garbage collector,106000,6996,35,2,0.066,0.057142857,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=gG6YvBYYNFE7mM:&imgrefurl=http://www.fasterj.com/cartoon/cartoon099.shtml&docid=MxNPHI0Aigx6AM&imgurl=http://www.fasterj.com/cartoon/cartoon099.PNG&w=471&h=394&ei=bSn3UZ7RGsr0iQL85oCwBw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=GdDxGa7BN9Nw2M:&imgrefurl=http://careers.stateuniversity.com/pages/518/Hotel-Housekeeper.html&docid=TtXOAkAjhfFEBM&imgurl=http://careers.stateuniversity.com/article_images/Hotel_housekeeper.jpg&w=314&h=382&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
insurance sales agent,540000,238140,84,40,0.441,0.476190476,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=FWRLOKG6uhBE9M:&imgrefurl=http://www.onlinedegrees.org/calculator/salary/insurance-sales-agents&docid=6mzkthbTekNjSM&imgurl=http://www.onlinedegrees.org/pics/insurance-sales-agents.jpg&w=425&h=282&ei=Jhr3Uc6JEsj1igKq_4GwCQ&zoom=1&ved=1t:3588,r:12,s:0,i:123",12,google
librarian,181000,157108,65,62,0.868,0.953846154,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=2h7lJ3HwEgpdwM:&imgrefurl=http://www.pasadenaisd.org/goldenacres/library/&docid=UFk2v7a_fqCv-M&imgurl=http://www.pasadenaisd.org/goldenacres/library/DJI_Read_librarian_c.jpg&w=1460&h=1330&ei=C_D2UfOAOIGiiQL5jYH4CA&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
mail carrier,318000,119886,73,21,0.377,0.287671233,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=XHdUd13Q0GKEsM:&imgrefurl=http://www.mugsbees.com/12/clipart.php%3Fq%3DPeople%2BClipart%26page%3D11&docid=kFVYWGBVnUw0FM&imgurl=http://i114.photobucket.com/albums/n272/coins_2006/Clipart/People/MailCarrier.png&w=300&h=500&ei=mB73UbGzL4miiQKtuoD4Aw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
nurse,2875000,2604750,89,86,0.906,0.966292135,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=MuV-i0kPHzsbWM:&imgrefurl=http://www.ayatravelnursingjobs.com/&docid=h28rDM7wmOj7eM&imgurl=http://www.ayatravelnursingjobs.com/images/content/home_nurseHome.jpg&w=164&h=252&ei=_fb2UYywBeSQiAKv1oCIDw&zoom=1&ved=1t:3588,r:12,s:0,i:125",12,google
nurse practitioner,103000,88683,78,66,0.861,0.846153846,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ZCMmFZRDn0JINM:&imgrefurl=http://www.stkate.edu/academic/manu/practitioner.php&docid=CnIddYyEEQaLhM&imgurl=http://www.stkate.edu/academic/manu/images/practitioner.jpg&w=410&h=220&ei=Vff2UdjYI8GviQKi1oFA&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
optician,54000,32184,70,48,0.596,0.685714286,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=hpY05_UsENNWjM:&imgrefurl=http://www.i2ioptometrists.co.uk/childrens-eyecare.php&docid=ayNv6caZL77s7M&imgurl=http://www.i2ioptometrists.co.uk/resources/girls%252520with%252520optician.jpg&w=800&h=533&ei=T_n2UcilH8OjiALWlYGYBw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
pharmacist,286000,153582,78,45,0.537,0.576923077,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=kL7zYUO7ZcpErM:&imgrefurl=http://www.depts.ttu.edu/pphc/areas/Pharmacy.php&docid=_s11D_mVH0JsFM&imgurl=http://www.depts.ttu.edu/pphc/areas/Pharmacist-Male.jpg&w=2400&h=1956&ei=FvX2UcOROqPiiwKO24CwBg&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
police officer,657000,82782,72,10,0.126,0.138888889,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=8qTXlA2zGBMxkM:&imgrefurl=http://becomingacop101.com/police-officer-job-description-what-they-actually-do/&docid=C8URX5xEtZsyRM&imgurl=http://becomingacop101.com/wp-content/uploads/2013/05/police20officers.jpg&w=412&h=285&ei=KPv2UfG9FcWqigLgjYGwBQ&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
primary school teacher,2838000,2310132,78,56,0.814,0.717948718,man|child,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=PuEveb8Wle06YM:&imgrefurl=https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/primaryschoolteacher.aspx&docid=A5CeZqyjioq63M&imgurl=https://nationalcareersservice.direct.gov.uk/SiteCollectionImages/Job%252520Profile%252520Photos/Job%252520Profile%252520Photos/Teacher-Trainer-0490-.jpg&w=280&h=187&ei=Z-72UbfJKub6igL83YDgAw&zoom=1&ved=1t:3588,r:12,s:0,i:117",12,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=4WKQLVBv22D7QM:&imgrefurl=http://va-in-medway.co.uk/%3Fattachment_id%3D543&docid=i8muw8pb1q44_M&imgurl=http://va-in-medway.co.uk/wp-content/uploads/2010/04/canstockphoto1750805.jpg&w=3000&h=2462&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
roofer,196000,2940,74,0,0.015,0,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=D6DO3imVXqO3SM:&imgrefurl=http://www.istockphoto.com/stock-photo-2307823-roofer-man-repairing-roof.php&docid=0kC8GR2nzBW-6M&imgurl=http://i.istockimg.com/file_thumbview_approve/2307823/2/stock-photo-2307823-roofer-man-repairing-roof.jpg&w=380&h=253&ei=tyL3UfmPKIreigLn14CoBw&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
security guard,903000,167055,95,5,0.185,0.052631579,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=USuWlr9ec1AKsM:&imgrefurl=http://www.securityclassmiami.com/Security-Guard-Class-Miami-Security-Guard-Classes-License-School-Service-Resources.htm&docid=tYl5nCcfLcPHyM&imgurl=http://www.securityclassmiami.com/Security-Class-Images/miami-warehouse-security-guards.jpg&w=188&h=275&ei=7Pv2UZmcKeGaiALr0oHADQ&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
software developer,1084000,213548,81,12,0.197,0.148148148,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=oyXTTNWjESm14M:&imgrefurl=http://www.forbes.com/pictures/lmj45llfh/software-developer/&docid=N59cUKPIvql3rM&imgurl=http://specials-images.forbes.com/imageserve/093EcKpbgqeol/0x600.jpg%253Ffit%253Dscale%2526background%253D000000&w=901&h=600&ei=lND2UemQFqOtigLA2YH4Bw&zoom=1&ved=1t:3588,r:12,s:0,i:125",12,google
special ed teacher,366000,315492,86,67,0.862,0.779069767,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Pu9hb7fu-KMRzM:&imgrefurl=http://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm&docid=w8h9Z2ZQPxPm7M&imgurl=http://www.bls.gov/ooh/images/p12-to-p13/p135-4-jpg.jpg&w=336&h=240&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
telemarketer,97000,48791,90,58,0.503,0.644444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/12.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=KZxCcHer6En1DM:&imgrefurl=http://www.thematrixfiles.net/blog/live-support-a-boost-to-customer-satisfaction/&docid=ZZmEaF7x5VdbVM&imgurl=http://www.thematrixfiles.net/wp-content/uploads/2008/06/telemarketer.jpg&w=190&h=173&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:12,s:0,i:126",12,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=YGBm9Ya75GdlSM:&imgrefurl=http://dragonball.wikia.com/wiki/World_Tournament_Announcer&docid=oNC8IQBf_A_hoM&imgurl=http://images2.wikia.nocookie.net/__cb20110509003745/dragonball/images/7/75/Announcer(DBO).png&w=1024&h=485&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
author,208000,115648,65,16,0.556,0.246153846,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Te4KLeQ3pzMFxM:&imgrefurl=http://www.illustrationsof.com/1047753-royalty-free-author-clipart-illustration&docid=DOpj8zmWyEWfyM&imgurl=http://www.illustrationsof.com/royalty-free-author-clipart-illustration-1047753.jpg&w=400&h=420&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
bartender,412000,246788,94,22,0.599,0.234042553,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=-daxufgscjTDdM:&imgrefurl=http://japanphilly.org/blogs/stephanie-yang/660&docid=rxvP0myKG9YWlM&imgurl=http://japanphilly.org/images/Blog/Stephanie/bartenderjy8.png&w=576&h=339&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
butcher,311000,71530,63,5,0.23,0.079365079,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=3X6zmiC1lV3aDM:&imgrefurl=http://www.clawusa.org/the-wrestlers/ze-dirty-butcher/&docid=SqiRLZWSZuQp8M&imgurl=http://www.clawusa.org/wp-content/uploads/2012/05/wrestler-butcher1.jpg&w=550&h=780&ei=ViT3UaCFHrHZigK134HwAw&zoom=1&ved=1t:3588,r:13,s:0,i:128",13,google
chef,403000,86645,91,22,0.215,0.241758242,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=D0b6WMcf58XUxM:&imgrefurl=http://georgewbush-whitehouse.archives.gov/chef/&docid=BWyHzE2883o9ZM&imgurl=http://georgewbush-whitehouse.archives.gov/chef/images/chef_main.jpg&w=354&h=476&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:13,s:0,i:128",13,google
chemist,105000,46410,77,41,0.442,0.532467532,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=U_rhvjx-87R8jM:&imgrefurl=http://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm&docid=WQK9ct0TAkI6IM&imgurl=http://www.bls.gov/ooh/images/p08-to-p09/p099-4-jpg.jpg&w=336&h=240&ei=g-v2UdnVFur6igKKjICYBg&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
chief executive officer,1513000,414562,98,11,0.274,0.112244898,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=mXTiH95HsnYWWM:&imgrefurl=http://www.ge.com/ar2007/letter.jsp&docid=VULdsQK2J6ms7M&imgurl=http://www.ge.com/ar2007/images/photo_chairmen.jpg&w=554&h=545&ei=knnzUazNDoe9igK784C4Aw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
childcare worker,1314000,1236474,71,62,0.941,0.873239437,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=EUQAPMRS4lo2cM:&imgrefurl=http://www.renaissancechildcare.co.uk/helpfultips.asp&docid=MfqJndDBpIzNKM&imgurl=http://www.renaissancechildcare.co.uk/data2/img_helpfultips.jpg&w=190&h=168&ei=Shn3Uf_0K4isiAKIrIGYCA&zoom=1&ved=1t:3588,r:13,s:0,i:122",13,google
construction worker,1387000,40223,88,11,0.029,0.125,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=2bqAaDfHot_NyM:&imgrefurl=http://fairobserver.com/article/voices-euro-2012-stas-kostiwa-construction-worker-kiev&docid=iTESAfiOoqjAFM&imgurl=http://www.fairobserver.com/sites/default/files/imagecache/featured/Daniel.Hemel/1_construction_worker.jpg&w=651&h=375&ei=riD3Ud-oGM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
cook,1970000,742690,78,11,0.377,0.141025641,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=kCSLjb7lNCOQbM:&imgrefurl=http://www.voyaprenderingles.com/colouring_pages-laminas_colorear/colouring_pages_jobs_04.php&docid=b-rJ9HzjU96IIM&imgurl=http://www.voyaprenderingles.com/imagenes/Laminas/trabajos/04_cook_cocinero.JPG&w=960&h=720&ei=Hf32UeuCJ6iCiwK30oAY&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
crane operator,62000,2480,44,3,0.04,0.068181818,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=gVDkAYaPFJv2RM:&imgrefurl=http://cobblawgroup.net/blog/index.php/2012/09/07/georgia-construction-sites-turn-pink/&docid=ICuRS9Tw5ByAjM&imgurl=http://cobblawgroup.net/blog/wp-content/uploads/2012/09/Phoenix-Crane-Official-Photo-with-Crane-Operator-Jessica-Ives1.jpg&w=2808&h=1872&ei=BSn3UcaHNuqKiALP0IDoDg&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
custodian,2205000,654885,64,10,0.297,0.15625,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=1L1lx-ZV0yWFCM:&imgrefurl=http://ed101.bu.edu/StudentDoc/Archives/spring04/leannaw/Images/&docid=LkbQmwhh3zIojM&imgurl=http://ed101.bu.edu/StudentDoc/Archives/spring04/leannaw/Images/custodian.gif&w=272&h=396&ei=fBX3Ub2jJ-WriAKmuIGwAw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=z2cXRE226aV9MM:&imgrefurl=http://www.ereleases.com/prfuel/hiring-customer-service-agents/&docid=UWvNXwFGPeKhkM&imgurl=http://www.ereleases.com/prfuel/wp-content/uploads/2010/08/customer_service_rep.jpg&w=425&h=282&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
doctor,911000,312473,83,25,0.343,0.301204819,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=P6JA7KTXI-_5dM:&imgrefurl=http://eofdreams.com/photo/doctor/10/&docid=8CjtR7wKE7qz3M&imgurl=http://eofdreams.com/data_images/dreams/doctor/doctor-10.jpg&w=1024&h=1024&ei=rvX2UcPGCejUiwLtvICACA&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ETQHbluatz_7_M:&imgrefurl=http://community.homeaway.com/docs/DOC-1637&docid=pZCS3-KsGuDOAM&imgurl=http://community.homeaway.com/___sbsstatic___/legacy/Housekeeping/housekeeper.jpg&w=283&h=424&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
insurance sales agent,540000,238140,84,40,0.441,0.476190476,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=CCZF4UHGjmKDYM:&imgrefurl=http://www.hiringheroes.com/&docid=0ymCwqXXraFYnM&imgurl=http://img.icbdr.com/images/talentnetwork/agla-vets-homepage.jpg&w=464&h=340&ei=Jhr3Uc6JEsj1igKq_4GwCQ&zoom=1&ved=1t:3588,r:13,s:0,i:126",13,google
lab tech,319000,232232,86,56,0.728,0.651162791,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=3i00D9sq-GrIYM:&imgrefurl=http://www.turbosquid.com/3d-models/maya-woman-girl-human/558862&docid=GNmryy62Vp3KOM&imgurl=http://preview.turbosquid.com/Preview/Content_2010_09_27__10_27_02/3d-lab-tech-1.jpgae3c8695-03d3-4951-97b6-b02cda20c359Larger.jpg&w=600&h=600&ei=wPf2UbCkCYjviQLUk4HoCA&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
mail carrier,318000,119886,73,21,0.377,0.287671233,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=l_zjU1OFoiGECM:&imgrefurl=http://staytondailyphoto.com/2011/04/11/thank-your-mail-carrier/&docid=Y0glFhDceH0v_M&imgurl=http://staytondailyphoto.com/wp-content/uploads/2011/04/ritae_mailcarrier.jpg&w=1024&h=683&ei=mB73UbGzL4miiQKtuoD4Aw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
nurse,2875000,2604750,89,86,0.906,0.966292135,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=n1Aq_ELCHbTr2M:&imgrefurl=http://www.123rf.com/photo_15565283_illustration-of-cute-smiling-nurse-pointing-a-blank-board.html&docid=RJFmRd6DI0HeFM&imgurl=http://us.123rf.com/400wm/400/400/norwayblue/norwayblue1210/norwayblue121000017/15565283-illustration-of-cute-smiling-nurse-pointing-a-blank-board.jpg&w=1200&h=1200&ei=_fb2UYywBeSQiAKv1oCIDw&zoom=1&ved=1t:3588,r:13,s:0,i:128",13,google
nurse practitioner,103000,88683,78,66,0.861,0.846153846,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=TAS1PNcKxuXp1M:&imgrefurl=http://spot.us/pitches/733-nurse-practitioners-solution-to-the-doctor-shortage/story&docid=zPYl8GCwJQmtvM&imgurl=http://s3.amazonaws.com/spotus-production-storage/news_items/featured_images/000/000/806/ladyAndNurse01_medium_larger_featured_image.jpg%253F1296592377&w=427&h=320&ei=Vff2UdjYI8GviQKi1oFA&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
optician,54000,32184,70,48,0.596,0.685714286,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/13.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=zIcauvuMy7jnCM:&imgrefurl=http://www.worldoffemale.com/why-you-should-purchase-eyewear-from-an-online-optician/&docid=n8NcekqnZFnsRM&imgurl=http://www.worldoffemale.com/wp-content/uploads/2012/11/Optician.jpg&w=849&h=566&ei=T_n2UcilH8OjiALWlYGYBw&zoom=1&ved=1t:3588,r:13,s:0,i:129",13,google
